nom_commune,code_postal,ville_cp
ANY MARTIN RIEUX,02500,ANY MARTIN RIEUX (02500)
ARCHON,02360,ARCHON (02360)
ARCY STE RESTITUE,02130,ARCY STE RESTITUE (02130)
ARMENTIERES SUR OURCQ,02210,ARMENTIERES SUR OURCQ (02210)
ARRANCY,02860,ARRANCY (02860)
ARTEMPS,02480,ARTEMPS (02480)
ASSIS SUR SERRE,02270,ASSIS SUR SERRE (02270)
ATHIES SOUS LAON,02840,ATHIES SOUS LAON (02840)
ATTILLY,02490,ATTILLY (02490)
AUBENCHEUL AUX BOIS,02420,AUBENCHEUL AUX BOIS (02420)
AUBENTON,02500,AUBENTON (02500)
AUBIGNY AUX KAISNES,02590,AUBIGNY AUX KAISNES (02590)
AUBIGNY EN LAONNOIS,02820,AUBIGNY EN LAONNOIS (02820)
AUDIGNICOURT,02300,AUDIGNICOURT (02300)
AUDIGNY,02120,AUDIGNY (02120)
AUGY,02220,AUGY (02220)
AULNOIS SOUS LAON,02000,AULNOIS SOUS LAON (02000)
LES AUTELS,02360,LES AUTELS (02360)
AUTREMENCOURT,02250,AUTREMENCOURT (02250)
AUTREPPES,02580,AUTREPPES (02580)
AUTREVILLE,02300,AUTREVILLE (02300)
AZY SUR MARNE,02400,AZY SUR MARNE (02400)
BAGNEUX,02290,BAGNEUX (02290)
BANCIGNY,02140,BANCIGNY (02140)
BARENTON BUGNY,02000,BARENTON BUGNY (02000)
BARENTON CEL,02000,BARENTON CEL (02000)
BARENTON SUR SERRE,02270,BARENTON SUR SERRE (02270)
BARISIS AUX BOIS,02700,BARISIS AUX BOIS (02700)
BARZY EN THIERACHE,02170,BARZY EN THIERACHE (02170)
BARZY SUR MARNE,02850,BARZY SUR MARNE (02850)
BASSOLES AULERS,02380,BASSOLES AULERS (02380)
VALLEES EN CHAMPAGNE,02330,VALLEES EN CHAMPAGNE (02330)
BAZOCHES ET ST THIBAUT,02220,BAZOCHES ET ST THIBAUT (02220)
